rank,symbol,year,quarter,earnings_date,category,session,predicted,confidence,csv_t30_change,hit_result,status,elapsed_seconds,from_date,to_date,from_close,to_close,error
1,SMCI,2023,4,2024-01-29,GAINER,BMO,UP,0.9,134.62,HIT,success,80.3,2024-01-29,2024-03-12,49.57,116.3,
2,MRNA,2020,3,2020-10-29,GAINER,BMO,UP,0.8,120.16,HIT,success,83.8,2020-10-29,2020-12-11,71.28,156.93,
3,EQT,2019,4,2020-02-27,GAINER,BMO,UP,0.7,101.12,HIT,success,77.0,2020-02-27,2020-04-09,5.38,10.82,
4,SMCI,2023,1,2023-05-02,GAINER,AMC,UP,0.9,82.01,HIT,success,74.7,2023-05-03,2023-06-15,13.4,24.39,
5,PLTR,2020,3,2020-11-12,GAINER,BMO,UP,0.8,75.79,HIT,success,77.5,2020-11-12,2020-12-28,14.58,25.63,
6,APA,2020,3,2020-11-04,GAINER,BMO,UP,0.7,75.19,HIT,success,71.3,2020-11-04,2020-12-17,8.99,15.75,
7,COIN,2023,3,2023-11-02,GAINER,BMO,UP,0.8,74.82,HIT,success,79.1,2023-11-02,2023-12-15,84.6,147.9,
8,FANG,2020,3,2020-11-02,GAINER,BMO,UP,0.7,73.8,HIT,success,72.0,2020-11-02,2020-12-15,27.71,48.16,
9,COIN,2024,3,2024-10-30,GAINER,AMC,NEUTRAL,0.6,73.27,SKIP,success,76.5,2024-10-31,2024-12-13,179.25,310.58,
10,DVN,2020,3,2020-10-29,GAINER,AMC,UP,0.8,72.12,HIT,success,78.5,2020-10-30,2020-12-14,8.93,15.37,
11,HOOD,2024,3,2024-10-30,GAINER,AMC,UP,0.8,71.14,HIT,success,79.7,2024-10-31,2024-12-13,23.49,40.2,
12,APP,2021,1,2021-05-12,GAINER,AMC,UP,0.8,70.16,HIT,success,70.6,2021-05-13,2021-06-25,49.87,84.86,
13,XYZ,2023,3,2023-11-02,GAINER,BMO,UP,0.8,68.74,HIT,success,83.0,2023-11-02,2023-12-15,43.98,74.21,
14,HAL,2020,1,2020-04-20,GAINER,BMO,NEUTRAL,0.6,66.32,SKIP,success,134.1,2020-04-20,2020-06-02,7.63,12.69,
15,DRI,2019,4,2020-03-19,GAINER,BMO,NEUTRAL,0.4,64.66,SKIP,success,75.9,2020-03-19,2020-05-01,42.42,69.85,
16,APP,2024,2,2024-08-07,GAINER,AMC,UP,0.8,64.33,HIT,success,71.4,2024-08-08,2024-09-20,76.73,126.09,
